scenario,penetration_pct,seed,n_evs,hour,v_min,v_max,v_min_all,v_max_all,xfmr_pct,converged
base,30,2,754,18,0.9685383146867524,1.0576559752242947,0.9555229786952063,1.0598729458026355,100.63571821994475,True
base,30,2,754,19,0.9748963910290993,1.0592242497690405,0.9580033435108932,1.0613415340175414,96.76467019659925,True
base,30,2,754,20,0.9893432360325041,1.058786598310809,0.966244046189404,1.060503903112591,83.14666847332394,True
base,30,2,754,21,0.989616522236768,1.0461707562867157,0.9738720394128907,1.0474125850546805,69.5800589978006,True
base,30,2,754,22,0.9939007070885469,1.0387533139634066,0.9805110755744338,1.0395715838821407,57.49620242218233,True
base,30,2,754,23,0.9945032078124991,1.0373610703160165,0.9865738810193784,1.0373610703160165,46.93933032315388,True
base,30,3,754,0,0.9854787534924326,1.0416501885611635,0.9854787534924326,1.0416501885611635,39.76686925575034,True
base,30,3,754,1,0.9908713022929828,1.0483030823367083,0.9908713022929828,1.0483030823367083,35.68448614795557,True
base,30,3,754,2,0.9948445313652485,1.0469284360130062,0.9943630465857071,1.0469284360130062,32.369624547447465,True
base,30,3,754,3,0.9998319224458884,1.0466515614148328,0.9964730668128912,1.0466515614148328,28.4420594680733,True
base,30,3,754,4,0.9959585321743861,1.0423406719676076,0.9946361917437161,1.0423406719676076,30.128617906236034,True
base,30,3,754,5,0.9902256843167049,1.0383485874377865,0.9902256843167049,1.0383485874377865,33.75885154934785,True
base,30,3,754,6,0.9858425094255374,1.035559632925378,0.9858425094255374,1.035559632925378,36.778182069003975,True
base,30,3,754,7,0.9858810288670407,1.0461756979948396,0.9845733741538462,1.0461756979948396,45.66445652453701,True
base,30,3,754,8,0.985207534578761,1.0493655921061664,0.9786292022759701,1.0493655921061664,54.95310302462123,True
base,30,3,754,9,0.9952955426842204,1.0436185921028587,0.9830488545667068,1.0436185921028587,47.21889874613516,True
base,30,3,754,10,0.9959185137662959,1.040032667830311,0.9866965240692926,1.040032667830311,41.448408772914625,True
base,30,3,754,11,0.9968470265959483,1.0415104723091524,0.9872326605571106,1.0415104723091524,40.66196610385809,True
base,30,3,754,12,0.9919169550828717,1.0383231938299755,0.9880150287683054,1.0383231938299755,40.07144851546281,True
base,30,3,754,13,0.9928382160089781,1.0391332187487907,0.988546927515701,1.0391332187487907,39.297058858172,True
base,30,3,754,14,0.9937576172242356,1.039939987158726,0.9890775638962251,1.039939987158726,38.52617320732387,True
base,30,3,754,15,0.9839865032822563,1.040572203346937,0.9809307806588132,1.040572203346937,51.756086486691146,True
base,30,3,754,16,0.9798410684936072,1.0492743085610716,0.9717558722994141,1.0492743085610716,68.26729545722152,True
base,30,3,754,17,0.9720277429016708,1.057469518124005,0.9562517763117717,1.0598994759576705,96.26366086522881,True
base,30,3,754,18,0.9700757390582144,1.057557688366776,0.9558398299774944,1.0599230372070376,100.63405357101058,True
base,30,3,754,19,0.9760443287788426,1.0591289291715495,0.958212381809899,1.0613823115368215,96.71632427407543,True
base,30,3,754,20,0.9902840618217185,1.0589026608594545,0.9664449246056155,1.0606898144452577,83.13451529245778,True
base,30,3,754,21,0.9904363470033979,1.0461089440809916,0.9740130648074385,1.0474372065639288,69.57472321412973,True
base,30,3,754,22,0.9944548867688843,1.0392661925300202,0.9806012748259663,1.0397391350122627,57.49192068733,True
base,30,3,754,23,0.9949070580341834,1.0381392424716478,0.9866367002384906,1.0381392424716478,46.93757990970701,True
base,30,4,754,0,0.9859773825589716,1.0415702674617382,0.9859773825589716,1.0415702674617382,39.766938684731215,True
base,30,4,754,1,0.9912845101352377,1.0482230212638408,0.9912845101352377,1.0482230212638408,35.68454268819976,True
base,30,4,754,2,0.995184062816725,1.0468737756628945,0.9944318836459206,1.0468737756628945,32.367667898105104,True
base,30,4,754,3,1.0000776485762544,1.0466049670616346,0.9965220782895123,1.0466049670616346,28.44206201241751,True
base,30,4,754,4,0.9961229401993638,1.0423172700908392,0.9946689337998639,1.0423172700908392,30.12863745262317,True
base,30,4,754,5,0.9903910336141484,1.0383239719824895,0.9903910336141484,1.0383239719824895,33.758885680804575,True
base,30,4,754,6,0.9860085311834967,1.0355275133579114,0.9860085311834967,1.0355275133579114,36.77822861677381,True
base,30,4,754,7,0.9860477347368201,1.0461473201205451,0.9846064327914668,1.0461473201205451,45.664524115687165,True
base,30,4,754,8,0.9851715080572906,1.0493338965330818,0.978662440980803,1.0493338965330818,54.95316986258126,True
base,30,4,754,9,0.9953785477626601,1.0436042208983,0.9830654297217778,1.0436042208983,47.21893351400956,True
base,30,4,754,10,0.9959315309216358,1.0400173763956697,0.9867130306045524,1.0400173763956697,41.448438996815355,True
base,30,4,754,11,0.9968600322004126,1.0414952248685476,0.9872491549808254,1.0414952248685476,40.66199932138103,True
base,30,4,754,12,0.9919426047169521,1.0382966944170295,0.988047983129268,1.0382966944170295,40.07149823533736,True
base,30,4,754,13,0.9928639173034861,1.0391068965073715,0.9885798897601809,1.0391068965073715,39.29712032700877,True
base,30,4,754,14,0.9937833025350332,1.039913908711961,0.9891105069164107,1.039913908711961,38.52623259397794,True
base,30,4,754,15,0.9842377318891273,1.0405266251379697,0.9809806229831347,1.0405266251379697,51.756180943997755,True
base,30,4,754,16,0.9797297489470901,1.0491753496387226,0.971855611394878,1.0491753496387226,68.26796549362344,True
base,30,4,754,17,0.9717957237856016,1.0570938588775205,0.9565011730045526,1.05960344708819,96.2578077596291,True
base,30,4,754,18,0.9697209046917123,1.0570126786209393,0.9561897190149359,1.0594926315506128,100.62972003741663,True
base,30,4,754,19,0.9756889792765991,1.0586207698986974,0.9585331995464149,1.0609795346508875,96.71768389103774,True
base,30,4,754,20,0.983606836645184,1.0523284466167808,0.9666916358754741,1.0542117524643497,82.90727516712076,True
base,30,4,754,21,0.9902093478059882,1.0457952567449393,0.9742317068826714,1.0471914879171373,69.57394154186977,True
base,30,4,754,22,0.994480649828194,1.039103339264032,0.9807678849258393,1.039558242533145,57.49210589655011,True
base,30,4,754,23,0.995011253224341,1.038013520502899,0.9867689151494285,1.038013520502899,46.9377408348647,True
base,30,5,754,0,0.9855966021298147,1.04825384249545,0.9855966021298147,1.04825384249545,39.765172060720175,True
base,30,5,754,1,0.9910013345439482,1.04829238207279,0.9910013345439482,1.04829238207279,35.66947783554759,True
base,30,5,754,2,0.9949628773070027,1.0469192227801998,0.9943867744817843,1.0469192227801998,32.36578126091909,True
base,30,5,754,3,0.9999085628345881,1.0466327271009324,0.9964860528035002,1.0466327271009324,28.44108709260789,True
base,30,5,754,4,0.9960107919270704,1.0422247087089702,0.99464543856222,1.0422247087089702,30.127720317028427,True
base,30,5,754,5,0.9902803127846805,1.038230827312546,0.9902803127846805,1.038230827312546,33.757579003169965,True
base,30,5,754,6,0.9858990713438985,1.035553173067966,0.9858990713438985,1.035553173067966,36.77663105950302,True
