scenario,thermal_pct,voltage_pct
admd2.0,41.86190565875365,97.06987223574984
base,29.152041126858194,64.25491751986156
battery900,51.301026175382056,73.31931350924893
fine,29.144351886636137,
kva7500,91.16892903310263,
